id,created_at,text,likes,in reply to,retweeted
1457850609017688070,2021-11-08 23:20:45+00:00,Happy #CelebrateFirstGen Day! I’m so proud of all the students working to get their education. I know it can be har… https://t.co/ni8W1nfbzx,9221,,False
1456361035586211849,2021-11-04 20:41:43+00:00,You absolutely nailed it – she looks just like Ada Twist! 😍❤️ https://t.co/tZKF13aatd,16752,,False
1456358269597925380,2021-11-04 20:30:43+00:00,"I love this! This is exactly why we created Ada Twist, Scientist, through Higher Ground – to inspire budding young… https://t.co/ul24dXrcDy",3971,,False
1455660478856929280,2021-11-02 22:17:57+00:00,"RT @WhenWeAllVote: Haven’t voted yet? There's still time! Find your polling place at https://t.co/APFAb1tasn.

After you vote, go to https:…",0,,False
1455502831918764034,2021-11-02 11:51:31+00:00,Vote in-person or drop off your ballot by the time polls close. Head to https://t.co/wyRWNO1LO5 to find your pollin… https://t.co/oSiMUXvuC2,2241,MichelleObama,False
1455502826747187205,2021-11-02 11:51:30+00:00,Today is Election Day! From city hall and the governor’s mansion to the school board and the courts — state and loc… https://t.co/KtJiqFHo5n,18911,,False
1454827302353842178,2021-10-31 15:07:12+00:00,Barack and I always loved celebrating Halloween back at the White House. I hope all those trick-or-treating tonight… https://t.co/32Y7b1geER,52605,,False
1453780063091052544,2021-10-28 17:45:51+00:00,"I’ve long been a fan of @BlackishABC’s wit and all-around brilliance, and it was such a thrill to join in for an ep… https://t.co/im4419ZGqE",9646,,False
1452422258119430144,2021-10-24 23:50:25+00:00,I’m so encouraged that the @POTUS and @VP have issued the first-ever national strategy on gender equity and equalit… https://t.co/Q4FVgFQkrB,12557,,False
1451556651488657409,2021-10-22 14:30:48+00:00,So this can’t be the end of our fight. We’re going to keep working to protect access to the ballot box at… https://t.co/paCfYoKbP7,1889,MichelleObama,False
1451556650062696450,2021-10-22 14:30:48+00:00,"And right now, their goal is to discourage us. We can’t let that happen. Passing this bill—and the John Lewis Votin… https://t.co/bGtgePXxbR",2602,MichelleObama,False
1451556648011579427,2021-10-22 14:30:48+00:00,"This week, Senate Republicans voted against even beginning debate on critical voting rights legislation. Make no mi… https://t.co/uGQbV6bja5",6917,,False
1451299971974766600,2021-10-21 21:30:51+00:00,"Congrats, @ChicagoSky! So proud of this team for winning their first @WNBA championship. 👏🏾🎉 https://t.co/Sb8EuyRZDG",5089,,False
