Latitude,Longitude
40.73254,-73.97445
40.73026,-73.9513
40.6323,-73.96674
40.7223,-73.9971
40.72033,-74.01228
40.74279,-73.98025
40.72689,-73.99997
40.75791,-73.98153
40.76888,-73.90854
40.72244,-73.9868
40.73034,-73.9804
40.74449,-74.0065
40.74557,-73.99325
40.78027,-73.95926
40.7457,-73.97213
40.75459,-73.97171
40.72054,-74.00345
40.6959,-73.9674
40.66916,-73.995
40.76576,-73.98357
40.80582,-73.97055
40.74137,-73.99677
40.7516,-73.97802
40.75115,-73.99052
40.64481,-73.96042
40.74641,-73.96978
40.76052,-73.96943
40.67517,-74.00083
40.77233,-73.99369
40.73676,-73.85523
40.64273,-73.97406
40.7322,-74.00061
40.72625,-73.98589
40.76408,-73.89537
40.79475,-73.93035
40.71866,-74.01268
40.72568,-73.89169
40.71053,-73.99262
40.74325,-73.977
40.73761,-73.97631
40.77242,-73.95287
40.73571,-73.97504
40.68416,-73.97772
40.76134,-73.9622
40.71905,-73.97497
40.75953,-73.95808
40.77597,-73.90228
40.70891,-74.01321
40.81433,-73.94456
40.69338,-73.8113
40.74128,-73.99399
40.7354,-73.91633
40.7696,-73.98569
40.73545,-73.92442
40.72325,-73.99673
40.75132,-73.99786
40.7267,-73.97189
40.78034,-73.97669
40.73243,-73.94363
40.69503,-73.9841
40.75209,-73.96451
40.74372,-73.97167
40.73803,-73.99634
40.70905,-73.99617
40.70704,-73.94628
40.7915,-73.92496
40.73763,-73.97432
40.83114,-73.95075
40.73056,-73.98624
40.73046,-73.98923
40.74935,-73.97108
40.74566,-73.97024
40.75106,-74.0017
40.73451,-73.92188
40.75539,-73.85246
40.84538,-73.93072
40.6433,-73.97417
40.77947,-73.95349
40.7755,-73.9426
40.75485,-73.97427
40.72304,-73.83618
40.71848,-73.98824
40.73852,-73.90268
40.71644,-73.99593
40.74384,-73.99211
40.74749,-73.97826
40.73203,-73.91915
40.73691,-73.81475
40.70311,-74.00794
40.72625,-73.88976
40.74216,-73.95885
40.73475,-73.98317
40.75155,-73.85144
40.77274,-73.99338
40.73143,-74.00117
40.69595,-73.98457
40.71617,-73.95064
40.73651,-73.92948
40.70793,-74.01558
40.77934,-73.98869
40.72305,-73.99307
40.74943,-74.00291
40.77819,-73.96076
40.7522,-73.96631
40.75368,-73.94706
40.78153,-73.9721
40.74675,-73.97652
40.69892,-73.98394
40.68922,-74.01006
40.75528,-73.96158
40.76809,-73.95879
40.7761,-73.95313
40.67767,-73.80312
40.76149,-73.96835
40.7472,-74.00453
40.72877,-73.88128
40.67838,-73.94969
40.74406,-73.97145
40.70952,-73.93309
40.76857,-73.90642
40.72798,-74.00302
40.73779,-73.84991
40.78206,-73.98284
40.75358,-73.98895
40.74196,-73.97275
40.74592,-73.97012
40.72304,-73.97395
40.76788,-73.90316
40.64185,-74.02091
40.73622,-73.91002
40.76849,-73.96946
40.77321,-73.98557
40.65697,-73.98251
40.78641,-73.97968
40.72019,-73.95299
40.71393,-73.97355
40.73465,-73.99257
40.75443,-73.99927
40.70297,-73.9605
40.74954,-73.99539
