iso_code,continent,date,total_cases
AFG,Asia,2020-01-05,0
AFG,Asia,2020-01-06,0
AFG,Asia,2020-01-07,0
AFG,Asia,2020-01-08,0
AFG,Asia,2020-01-09,0
AFG,Asia,2020-01-10,0
AFG,Asia,2020-01-11,0
AFG,Asia,2020-01-12,0
AFG,Asia,2020-01-13,0
AFG,Asia,2020-01-14,0
AFG,Asia,2020-01-15,0
AFG,Asia,2020-01-16,0
AFG,Asia,2020-01-17,0
AFG,Asia,2020-01-18,0
AFG,Asia,2020-01-19,0
AFG,Asia,2020-01-20,0
AFG,Asia,2020-01-21,0
AFG,Asia,2020-01-22,0
AFG,Asia,2020-01-23,0
AFG,Asia,2020-01-24,0
AFG,Asia,2020-01-25,0
AFG,Asia,2020-01-26,0
AFG,Asia,2020-01-27,0
AFG,Asia,2020-01-28,0
AFG,Asia,2020-01-29,0
AFG,Asia,2020-01-30,0
AFG,Asia,2020-01-31,0
AFG,Asia,2020-02-01,0
AFG,Asia,2020-02-02,0
AFG,Asia,2020-02-03,0
AFG,Asia,2020-02-04,0
AFG,Asia,2020-02-05,0
AFG,Asia,2020-02-06,0
AFG,Asia,2020-02-07,0
AFG,Asia,2020-02-08,0
AFG,Asia,2020-02-09,0
AFG,Asia,2020-02-10,0
AFG,Asia,2020-02-11,0
AFG,Asia,2020-02-12,0
AFG,Asia,2020-02-13,0
AFG,Asia,2020-02-14,0
AFG,Asia,2020-02-15,0
AFG,Asia,2020-02-16,0
AFG,Asia,2020-02-17,0
AFG,Asia,2020-02-18,0
AFG,Asia,2020-02-19,0
AFG,Asia,2020-02-20,0
AFG,Asia,2020-02-21,0
AFG,Asia,2020-02-22,0
AFG,Asia,2020-02-23,0
AFG,Asia,2020-02-24,0
AFG,Asia,2020-02-25,0
AFG,Asia,2020-02-26,0
AFG,Asia,2020-02-27,0
AFG,Asia,2020-02-28,0
AFG,Asia,2020-02-29,0
AFG,Asia,2020-03-01,1
AFG,Asia,2020-03-02,1
AFG,Asia,2020-03-03,1
AFG,Asia,2020-03-04,1
AFG,Asia,2020-03-05,1
AFG,Asia,2020-03-06,1
AFG,Asia,2020-03-07,1
AFG,Asia,2020-03-08,1
AFG,Asia,2020-03-09,1
AFG,Asia,2020-03-10,1
AFG,Asia,2020-03-11,1
AFG,Asia,2020-03-12,1
AFG,Asia,2020-03-13,1
AFG,Asia,2020-03-14,1
AFG,Asia,2020-03-15,7
AFG,Asia,2020-03-16,7
AFG,Asia,2020-03-17,7
AFG,Asia,2020-03-18,7
AFG,Asia,2020-03-19,7
AFG,Asia,2020-03-20,7
AFG,Asia,2020-03-21,7
AFG,Asia,2020-03-22,24
AFG,Asia,2020-03-23,24
AFG,Asia,2020-03-24,24
AFG,Asia,2020-03-25,24
AFG,Asia,2020-03-26,24
AFG,Asia,2020-03-27,24
AFG,Asia,2020-03-28,24
AFG,Asia,2020-03-29,91
AFG,Asia,2020-03-30,91
AFG,Asia,2020-03-31,91
AFG,Asia,2020-04-01,91
AFG,Asia,2020-04-02,91
AFG,Asia,2020-04-03,91
AFG,Asia,2020-04-04,91
AFG,Asia,2020-04-05,274
AFG,Asia,2020-04-06,274
AFG,Asia,2020-04-07,274
AFG,Asia,2020-04-08,274
AFG,Asia,2020-04-09,274
AFG,Asia,2020-04-10,274
AFG,Asia,2020-04-11,274
AFG,Asia,2020-04-12,521
AFG,Asia,2020-04-13,521
AFG,Asia,2020-04-14,521
AFG,Asia,2020-04-15,521
AFG,Asia,2020-04-16,521
AFG,Asia,2020-04-17,521
AFG,Asia,2020-04-18,521
AFG,Asia,2020-04-19,908
AFG,Asia,2020-04-20,908
AFG,Asia,2020-04-21,908
AFG,Asia,2020-04-22,908
AFG,Asia,2020-04-23,908
AFG,Asia,2020-04-24,908
AFG,Asia,2020-04-25,908
AFG,Asia,2020-04-26,1330
AFG,Asia,2020-04-27,1330
AFG,Asia,2020-04-28,1330
AFG,Asia,2020-04-29,1330
AFG,Asia,2020-04-30,1330
AFG,Asia,2020-05-01,1330
AFG,Asia,2020-05-02,1330
AFG,Asia,2020-05-03,2171
AFG,Asia,2020-05-04,2171
AFG,Asia,2020-05-05,2171
AFG,Asia,2020-05-06,2171
AFG,Asia,2020-05-07,2171
AFG,Asia,2020-05-08,2171
AFG,Asia,2020-05-09,2171
AFG,Asia,2020-05-10,3563
AFG,Asia,2020-05-11,3563
AFG,Asia,2020-05-12,3563
AFG,Asia,2020-05-13,3563
AFG,Asia,2020-05-14,3563
AFG,Asia,2020-05-15,3563
AFG,Asia,2020-05-16,3563
AFG,Asia,2020-05-17,6053
AFG,Asia,2020-05-18,6053
AFG,Asia,2020-05-19,6053
AFG,Asia,2020-05-20,6053
AFG,Asia,2020-05-21,6053
AFG,Asia,2020-05-22,6053
AFG,Asia,2020-05-23,6053
AFG,Asia,2020-05-24,9866
AFG,Asia,2020-05-25,9866
AFG,Asia,2020-05-26,9866
AFG,Asia,2020-05-27,9866
AFG,Asia,2020-05-28,9866
AFG,Asia,2020-05-29,9866
AFG,Asia,2020-05-30,9866
AFG,Asia,2020-05-31,14443
AFG,Asia,2020-06-01,14443
AFG,Asia,2020-06-02,14443
AFG,Asia,2020-06-03,14443
AFG,Asia,2020-06-04,14443
AFG,Asia,2020-06-05,14443
AFG,Asia,2020-06-06,14443
AFG,Asia,2020-06-07,19551
AFG,Asia,2020-06-08,19551
AFG,Asia,2020-06-09,19551
AFG,Asia,2020-06-10,19551
AFG,Asia,2020-06-11,19551
AFG,Asia,2020-06-12,19551
AFG,Asia,2020-06-13,19551
AFG,Asia,2020-06-14,24102
AFG,Asia,2020-06-15,24102
AFG,Asia,2020-06-16,24102
