Rowid,Timestamp,Anonymized_Vehicle_Number,Vehicle_Type,Number_of_Axles,Tollplaza_ID,Tollplaza_Code,Type_of_Payment_Code,Vehicle_Code
1,2021-08-19 21:54:38,125094,CAR,2,4856,PC7C042B7,2B7,PTE V
2,2021-07-31 04:09:44,174434,CAR,2,4154,PC2C2EF9E,F9E,PTP V
3,2021-08-14 17:19:04,8538286,CAR,2,4070,PCEECA8B2,8B2,PTE V
4,2021-08-02 18:23:45,5521221,CAR,2,4095,PC3E1512A,12A,PTP V
5,2021-07-29 22:44:20,3267767,CAR,2,4135,PCC943ECD,ECD,PTE V
6,2021-08-14 03:57:47,8411850,CAR,2,4680,PCC422F4D,F4D,PTE V
7,2021-08-12 03:41:22,6064250,CAR,2,4702,PCDBC3AC9,AC9,PTE V
8,2021-08-22 10:29:58,6871937,VAN,2,4592,PC627AA14,A14,PTE V
9,2021-08-06 14:23:08,2055930,CAR,2,4100,PCC6DD8D5,8D5,PTP V
10,2021-08-15 13:43:51,8775910,CAR,2,4143,PC5F47DCF,DCF,PTC V
11,2021-08-04 15:52:13,4525747,CAR,2,4466,PC6E93A05,A05,PTE V
12,2021-08-18 02:22:15,5276143,VAN,2,4352,PC99B9343,343,PTC V
13,2021-08-19 16:01:02,5405144,VAN,2,4574,PCC1F6F13,F13,PTP V
14,2021-08-03 14:55:00,9309466,CAR,2,4902,PC425C6EC,6EC,PTE V
15,2021-08-05 04:00:30,6494070,VAN,2,4012,PCEF5C190,190,PTC V
16,2021-08-08 13:08:17,4880588,CAR,2,4458,PCECEBBFA,BFA,PTE V
17,2021-08-04 04:56:15,6964507,CAR,2,4886,PC4D892D7,2D7,PTC V
18,2021-08-15 11:22:44,5740782,TRUCK,4,4680,PCC422F4D,F4D,PTP V
19,2021-07-30 11:20:47,1060261,VAN,2,4899,PC4967767,767,PTP V
20,2021-08-08 21:22:56,6599783,CAR,2,4855,PC03C5C15,C15,PTP V
21,2021-08-11 10:33:15,4573378,CAR,2,4737,PCED7EAFE,AFE,PTC V
22,2021-08-06 02:02:33,1362666,CAR,2,4140,PC5D4821F,21F,PTP V
23,2021-08-09 05:07:58,9227112,CAR,2,4961,PC92C5115,115,PTP V
24,2021-08-13 18:21:04,1245885,CAR,2,4148,PCDFBBEBB,EBB,PTP V
