Rowid,Timestamp,Anonymized_Vehicle_Number,Vehicle_Type
1,2021-08-19 21:54:38,125094,car
2,2021-07-31 04:09:44,174434,car
3,2021-08-14 17:19:04,8538286,car
4,2021-08-02 18:23:45,5521221,car
5,2021-07-29 22:44:20,3267767,car
6,2021-08-14 03:57:47,8411850,car
7,2021-08-12 03:41:22,6064250,car
8,2021-08-22 10:29:58,6871937,van
9,2021-08-06 14:23:08,2055930,car
10,2021-08-15 13:43:51,8775910,car
11,2021-08-04 15:52:13,4525747,car
12,2021-08-18 02:22:15,5276143,van
13,2021-08-19 16:01:02,5405144,van
14,2021-08-03 14:55:00,9309466,car
15,2021-08-05 04:00:30,6494070,van
16,2021-08-08 13:08:17,4880588,car
17,2021-08-04 04:56:15,6964507,car
18,2021-08-15 11:22:44,5740782,truck
19,2021-07-30 11:20:47,1060261,van
20,2021-08-08 21:22:56,6599783,car
21,2021-08-11 10:33:15,4573378,car
22,2021-08-06 02:02:33,1362666,car
23,2021-08-09 05:07:58,9227112,car
24,2021-08-13 18:21:04,1245885,car
25,2021-08-12 01:36:28,6702238,car
26,2021-08-11 04:05:21,7598066,car
27,2021-08-08 19:09:41,2959560,car
28,2021-08-01 02:04:42,9223690,car
29,2021-08-15 11:11:42,495967,car
30,2021-08-14 03:39:26,1920115,car
31,2021-08-18 23:33:41,9940618,truck
32,2021-08-06 10:18:54,733942,car
33,2021-08-19 15:58:25,3232373,truck
34,2021-08-19 07:23:18,2164250,truck
35,2021-08-01 09:10:05,3714822,truck
36,2021-08-07 13:11:54,9870882,van
37,2021-08-10 01:27:00,834998,car
38,2021-08-10 14:31:35,6715866,car
39,2021-08-08 09:43:26,9723146,car
40,2021-08-02 16:18:51,2871310,car
41,2021-08-14 13:13:47,7657312,van
42,2021-08-03 03:53:05,9802000,car
43,2021-08-16 00:36:00,6514220,car
44,2021-08-20 02:10:55,3803763,car
45,2021-08-14 06:32:07,2223161,car
46,2021-07-30 02:19:56,1228573,truck
47,2021-08-04 14:30:03,4872795,car
48,2021-08-14 04:04:45,2074513,van
49,2021-08-12 04:58:14,7368256,car
50,2021-08-11 10:50:27,2168309,car
51,2021-08-08 08:37:17,5131457,car
52,2021-08-09 23:48:43,2398430,car
53,2021-08-18 17:50:45,6065595,van
