Type_of_Payment_Code,Vehicle_Code
2B7,PTE V
F9E,PTP V
8B2,PTE V
12A,PTP V
ECD,PTE V
F4D,PTE V
AC9,PTE V
A14,PTE V
8D5,PTP V
DCF,PTC V
A05,PTE V
343,PTC V
F13,PTP V
6EC,PTE V
190,PTC V
BFA,PTE V
2D7,PTC V
F4D,PTP V
767,PTP V
C15,PTP V
AFE,PTC V
21F,PTP V
115,PTP V
EBB,PTP V
872,PTE V
71E,PTP V
DCE,PTE V
3DF,PTP V
637,PTE V
CED,PTE V
6ED,PTE V
5F9,PTE V
AD4,PTP V
51B,PTE V
950,PTE V
453,PTC V
2D8,PTP V
507,PTE V
57A,PTC V
CD9,PTE V
B0A,PTC V
099,PTE V
320,PTP V
598,PTE V
130,PTP V
952,PTP V
E8F,PTC V
8F9,PTE V
422,PTE V
9A7,PTP V
190,PTC V
114,PTC V
E92,PTP V
F9E,PTP V
27C,PTC V
0F2,PTP V
9BC,PTC V
D54,PTC V
D3D,PTE V
DD4,PTC V
6A5,PTC V
6BE,PTP V
03B,PTP V
5AD,PTC V
1E1,PTC V
0C0,PTC V
156,PTC V
6E6,PTE V
DE8,PTP V
1F9,PTP V
749,PTP V
C34,PTC V
AE8,PTC V
A9D,PTP V
6A1,PTE V
64E,PTP V
EAD,PTE V
FFA,PTE V
76E,PTC V
3A7,PTE V
A79,PTP V
735,PTC V
11B,PTC V
910,PTC V
796,PTC V
A56,PTP V
00F,PTP V
F2E,PTE V
851,PTC V
694,PTE V
6C9,PTC V
664,PTP V
D38,PTP V
95F,PTC V
33E,PTE V
057,PTP V
E22,PTC V
8BF,PTC V
D54,PTP V
5AC,PTC V
002,PTP V
627,PTE V
250,PTE V
70B,PTP V
B50,PTE V
983,PTP V
B8E,PTE V
3B7,PTC V
E92,PTP V
687,PTP V
209,PTC V
A8E,PTP V
D63,PTP V
DB5,PTE V
62F,PTE V
754,PTC V
459,PTE V
9BC,PTC V
3DF,PTE V
6DF,PTC V
0ED,PTC V
DB5,PTE V
252,PTE V
E1B,PTP V
B19,PTE V
252,PTP V
B4E,PTE V
9AE,PTE V
CD3,PTP V
C7A,PTC V
F13,PTC V
6C9,PTE V
D38,PTC V
C17,PTP V
C08,PTE V
3B6,PTE V
4A0,PTE V
378,PTP V
410,PTE V
E76,PTE V
4B8,PTP V
982,PTP V
602,PTC V
7C5,PTE V
B78,PTE V
0C5,PTC V
B01,PTE V
FE0,PTE V
7CA,PTE V
EBB,PTC V
E25,PTE V
B3F,PTP V
F7C,PTP V
AFE,PTC V
454,PTP V
A73,PTE V
E00,PTE V
6FF,PTP V
E9B,PTC V
822,PTP V
999,PTC V
C98,PTP V
CE8,PTC V
CEF,PTE V
BB0,PTP V
C98,PTE V
8A2,PTP V
E5B,PTC V
90D,PTC V
A14,PTE V
D80,PTC V
6C9,PTC V
69D,PTE V
96F,PTP V
DA5,PTP V
119,PTE V
E48,PTP V
EDC,PTP V
9B2,PTE V
EAD,PTC V
4BE,PTC V
EA6,PTE V
156,PTE V
3B9,PTP V
D38,PTP V
0A9,PTC V
D2C,PTC V
9AE,PTP V
463,PTE V
E1B,PTE V
377,PTC V
D50,PTC V
EBF,PTP V
D12,PTC V
A05,PTE V
777,PTP V
12A,PTP V
5AC,PTC V
33E,PTE V
950,PTE V
7C5,PTE V
947,PTP V
851,PTE V
F23,PTE V
07E,PTP V
22A,PTE V
572,PTP V
767,PTE V
572,PTP V
259,PTP V
E9B,PTC V
B36,PTP V
0F3,PTP V
D7B,PTC V
F85,PTE V
F20,PTP V
DEA,PTP V
D6A,PTC V
9FD,PTE V
406,PTC V
6D7,PTE V
C5D,PTC V
270,PTE V
C82,PTE V
33E,PTC V
0DB,PTP V
E77,PTC V
0D8,PTE V
572,PTC V
99B,PTC V
CD3,PTC V
EAD,PTE V
72F,PTC V
185,PTC V
E0F,PTE V
E85,PTC V
AD5,PTP V
A14,PTE V
C8D,PTP V
D38,PTE V
E32,PTE V
888,PTE V
BAF,PTP V
8F3,PTC V
B34,PTE V
AB9,PTE V
37B,PTP V
4A0,PTC V
8B2,PTE V
6DA,PTC V
3B3,PTE V
86F,PTP V
5A7,PTC V
D38,PTC V
D29,PTE V
8AB,PTC V
A56,PTC V
D39,PTE V
059,PTE V
965,PTC V
63A,PTE V
451,PTE V
1E2,PTC V
1FC,PTC V
E77,PTP V
8F3,PTC V
BEE,PTE V
A3E,PTP V
C34,PTC V
F6B,PTP V
28E,PTE V
1E1,PTE V
359,PTP V
423,PTC V
103,PTE V
9FB,PTC V
FC1,PTC V
E8F,PTE V
2C2,PTE V
79C,PTC V
B36,PTP V
66E,PTE V
E09,PTC V
441,PTC V
1F6,PTP V
C6D,PTE V
749,PTC V
965,PTP V
FE0,PTC V
919,PTP V
725,PTC V
CA4,PTP V
51B,PTC V
4C6,PTE V
F89,PTP V
1A8,PTC V
70D,PTP V
964,PTE V
4A2,PTP V
C04,PTC V
494,PTE V
F89,PTE V
1F6,PTE V
754,PTC V
187,PTE V
0DB,PTC V
A39,PTP V
528,PTC V
438,PTP V
794,PTC V
7FE,PTE V
676,PTE V
825,PTC V
A1E,PTP V
094,PTC V
301,PTP V
F51,PTP V
D3D,PTC V
8D5,PTC V
C6D,PTP V
F13,PTE V
6EC,PTP V
ED3,PTE V
E4D,PTC V
F87,PTC V
214,PTP V
8E4,PTP V
38A,PTP V
4B8,PTP V
8C6,PTE V
463,PTP V
CD9,PTP V
3F9,PTC V
9F9,PTC V
565,PTE V
973,PTC V
E25,PTP V
01F,PTC V
CFB,PTC V
E1B,PTE V
5C7,PTP V
CA9,PTC V
6A2,PTC V
72C,PTE V
3B3,PTP V
6BA,PTE V
55F,PTP V
E32,PTE V
627,PTE V
9B4,PTP V
9D1,PTP V
423,PTC V
FC5,PTP V
EBF,PTP V
964,PTE V
720,PTP V
CD9,PTC V
6EC,PTE V
B31,PTC V
61B,PTP V
86D,PTE V
5CE,PTC V
0F2,PTC V
594,PTE V
8FA,PTE V
21D,PTC V
270,PTP V
BE5,PTP V
5F9,PTC V
D42,PTC V
453,PTP V
369,PTE V
E11,PTE V
D87,PTC V
324,PTC V
378,PTP V
E42,PTP V
5B9,PTC V
E09,PTC V
C1C,PTE V
C15,PTC V
CF9,PTP V
DCE,PTP V
15B,PTP V
DB3,PTP V
A8E,PTP V
70A,PTP V
D29,PTC V
DA5,PTC V
A9D,PTE V
95C,PTC V
3DE,PTC V
3B6,PTC V
17A,PTP V
AD0,PTE V
DC0,PTC V
3DF,PTE V
1F9,PTC V
718,PTP V
F23,PTE V
7A9,PTC V
0A7,PTE V
72C,PTC V
483,PTP V
087,PTC V
5A7,PTE V
14E,PTP V
A64,PTC V
62F,PTE V
